config,n,acc,logloss,brier,auc,ece
lgbm_num,444,0.6351351351351351,0.6000263493572967,0.20753056045976015,0.7531746031746032,0.08426228488036214
lgbm_cat,444,0.6509009009009009,0.6044613499939391,0.20945262943517165,0.7462759462759462,0.08273539303809618
xgb,444,0.6486486486486487,0.5950192389363403,0.20558695495128632,0.7559422059422061,0.09066447816990518
cat,444,0.6644144144144144,0.5922603718482404,0.20425236286049067,0.7682743182743182,0.09499104263390248
lr,444,0.6644144144144144,0.6095655884640467,0.2124025999772494,0.7494912494912496,0.11707128537716195
ensemble,444,0.6711711711711712,0.5804987492366797,0.1991075681241546,0.7658119658119658,0.05087045709297794
