config,n,acc,logloss,brier,auc,ece
uniform (control),1562,0.7477592829705506,0.501576103239626,0.16611027254657013,0.8358857480160031,0.024774997124305854
hl=720d,1562,0.7592829705505761,0.5081433842486234,0.16787889463405964,0.8322325703417066,0.03885813714753055
hl=540d,1562,0.7496798975672215,0.5159622967096298,0.1713247703179149,0.8253672853676133,0.02914436383802774
hl=365d,1562,0.7509603072983355,0.5177205867749589,0.17193584366906897,0.8243359349380206,0.0295973410138712
