config,n,acc,logloss,brier,auc,ece
lgbm_num,444,0.6824324324324325,0.5889344201232846,0.20172272990223508,0.7601139601139602,0.06808763054169535
lgbm_cat,444,0.6824324324324325,0.5957714058960701,0.2049580696329767,0.753093203093203,0.07910602658244352
xgb,444,0.6711711711711712,0.5921778499533596,0.20376111567020416,0.7569800569800569,0.06483126284034402
cat,444,0.6734234234234234,0.6003895715489381,0.20669922783775488,0.7562881562881563,0.0895130898948544
lr,444,0.6621621621621622,0.5981354610532756,0.2064038705845377,0.7416971916971917,0.04474709737589579
ensemble,444,0.6869369369369369,0.5858459154016114,0.2005375721952075,0.7599104599104599,0.0503764912007697
