name,n,acc,logloss,brier,auc,ece
lgbm_num,1385,0.7566787003610108,0.5099019729906559,0.16884751767944223,0.8322689103673824,0.03859291851193911
lgbm_cat,1385,0.748014440433213,0.5318212465805213,0.17713232096673323,0.8156393003591645,0.045617795305986746
xgb,1385,0.7552346570397112,0.5094711710576835,0.16900485754013062,0.8326526866424999,0.04208076610246719
cat,1385,0.7595667870036101,0.5095704070297645,0.16890460963994236,0.8345340246868261,0.051070270980790165
lr,1385,0.7451263537906138,0.5176437577235284,0.17253684018308904,0.8244786691306216,0.043824657037251885
ensemble_avg,1385,0.7574007220216606,0.5081799243608857,0.16783167173703423,0.838396816325509,0.05292152013664126
ensemble_no_lr,1385,0.7581227436823105,0.5101020496671327,0.16849761798548785,0.8363152471811215,0.052848947458678706
stack_lr,1385,0.76028880866426,0.49994939698949,0.1649387680024407,0.8385574183536832,0.03450108164282765
weighted_avg,1385,0.7581227436823105,0.5081072327329429,0.1678096002184032,0.8384072450286373,0.05307386425393687
