config,n,acc,logloss,brier,auc,ece,d_acc_pp,d_brier,d_ece_pp
control,444,0.6869369369369369,0.5876687335503586,0.20109927361450874,0.7594424094424096,0.06607819743501696,0.0,0.0,0.0
control [weather-only subset],260,0.6730769230769231,0.5943232442458678,0.2045440257416461,0.7478085761667852,0.05799045364026671,-1.3860013860013787,0.0034447521271373516,-0.8087743794750246
with weather features,444,0.6801801801801802,0.5888713740295891,0.2017687575203956,0.7571225071225072,0.059106182073849496,-0.6756756756756688,0.000669483905886864,-0.6972015361167462
with weather features [weather-only subset],260,0.6653846153846154,0.5964664559434243,0.20571109867465348,0.744373371239043,0.06417409994820791,-2.1552321552321563,0.004611825060144736,-0.1904097486809045
