config,n,acc,logloss,brier,auc,ece,d_acc_pp,d_brier,d_ece_pp
control,444,0.6981981981981982,0.5869427307137048,0.20077956323519097,0.7592592592592593,0.05194128775668021,0.0,0.0,0.0
with margin features,444,0.6824324324324325,0.5864329003436332,0.2010724804846983,0.757000407000407,0.043804976690700825,-1.5765765765765716,0.0002929172495073351,-0.8136311065979382
