conf_lo,conf_hi,n,mean_p_winner,acc
0.0,0.1,130,0.5258826515915289,0.5307692307692308
0.1,0.2,140,0.5762220937391942,0.5714285714285714
0.2,0.3,116,0.6274262175287861,0.6637931034482759
0.3,0.4,150,0.675363014749598,0.68
0.4,0.5,143,0.7231561165182905,0.7412587412587412
0.5,0.6,174,0.7739501474925911,0.7988505747126436
0.6,0.7,172,0.8242754675034977,0.813953488372093
0.7,0.8,195,0.8778880808845423,0.9128205128205128
0.8,0.9,165,0.9196492477365642,0.9636363636363636
0.9,1.001,0,,
