name,n,acc,logloss,brier,auc,ece
lgbm_num,1938,0.7275541795665634,0.528991756947694,0.17785805238714775,0.8110666026198827,0.02597846267554335
lgbm_cat,1938,0.7203302373581011,0.549696743717409,0.18544863256461366,0.7951777458017226,0.029349030255513962
xgb,1938,0.7352941176470589,0.5284827267474901,0.17772167921066284,0.8124682473157332,0.03197956614203991
cat,1938,0.7363261093911249,0.5238378095195758,0.17562256057936182,0.817471991070373,0.03034340964963808
lr,1938,0.7234262125902993,0.534792530534753,0.18005365774312282,0.8071066368302381,0.02873855833761956
ensemble_avg,1938,0.7347781217750258,0.525574962274592,0.1759175575844926,0.8185168341149243,0.038087659129882594
ensemble_no_lr,1938,0.7363261093911249,0.5270704306899341,0.1765148445706256,0.8166082115503618,0.03682084441567005
stack_lr,1938,0.7363261093911249,0.5219430649933813,0.1743558898144113,0.8190770659614419,0.02653749152666668
weighted_avg,1938,0.7358101135190919,0.5255079793436982,0.17589680623442372,0.8185722182518423,0.038982074420848375
