config,n,acc,logloss,brier,auc,ece,d_acc_pp,d_brier,d_ece_pp
control (all-time only),444,0.6959459459459459,0.5914146368767083,0.20296216719225324,0.753988603988604,0.056885369820423914,0.0,0.0,0.0
with 24mo windows,444,0.6869369369369369,0.5890315686379686,0.20177349474757925,0.7571428571428571,0.05390100695298784,-0.9009009009009028,-0.0011886724446739938,-0.29843628674360717
