name,n,acc,logloss,brier,auc,ece
lgbm_num,444,0.6509009009009009,0.601934602532712,0.208291724308508,0.7517297517297516,0.09059751621747836
lgbm_cat,444,0.6306306306306306,0.6016578411285172,0.20845897147992953,0.7534391534391535,0.101755236110603
xgb,444,0.6396396396396397,0.6003940595607286,0.20824402570724487,0.7515262515262516,0.08895302085658988
cat,444,0.6509009009009009,0.5931280749937414,0.20496205994195144,0.7693732193732192,0.10388661976975568
lr,444,0.6621621621621622,0.6090492633606073,0.2121108431970999,0.7486568986568987,0.11244810348808384
ensemble_avg,444,0.6644144144144144,0.5958734195913643,0.20624152308340382,0.7610907610907611,0.09797296480072741
ensemble_no_lr,444,0.6486486486486487,0.597218998137191,0.2065683852421914,0.7596052096052096,0.10158736039371036
stack_lr,444,0.6846846846846847,0.5809738531558095,0.1994916434009615,0.7640822140822141,0.06220088818850403
weighted_avg,444,0.6644144144144144,0.5958612209638969,0.2062372766445239,0.7610907610907611,0.09798061081479363
