conf_lo,conf_hi,n,mean_p_winner,acc
0.0,0.1,58,0.5209773564324752,0.5172413793103449
0.1,0.2,64,0.5736087496688812,0.5
0.2,0.3,50,0.6240515712572045,0.62
0.3,0.4,70,0.673973327232676,0.6
0.4,0.5,53,0.7238150794677998,0.7547169811320755
0.5,0.6,58,0.7757746250995529,0.7758620689655172
0.6,0.7,55,0.8244248703841458,0.8727272727272727
0.7,0.8,31,0.8684319270152393,0.9032258064516129
0.8,0.9,5,0.9098997016724713,1.0
0.9,1.001,0,,
