conf_lo,conf_hi,n,mean_p_winner,acc
0.0,0.1,189,0.5261902518077123,0.5555555555555556
0.1,0.2,210,0.5756726296251805,0.5952380952380952
0.2,0.3,185,0.6250411614694237,0.654054054054054
0.3,0.4,227,0.6746303114056704,0.5859030837004405
0.4,0.5,223,0.7266654631417773,0.757847533632287
0.5,0.6,231,0.7762783954059775,0.7835497835497836
0.6,0.7,217,0.8258917138019118,0.8248847926267281
0.7,0.8,265,0.8756775639955062,0.9056603773584906
0.8,0.9,191,0.9162659795582455,0.9476439790575916
0.9,1.001,0,,
