config,n,acc,logloss,brier,auc,ece
uniform (control),444,0.6644144144144144,0.5943492205997193,0.20529169909909456,0.7501424501424502,0.0621791885231725
hl=720d,444,0.6914414414414415,0.5932665167412546,0.20356047763750038,0.752910052910053,0.04584352562544576
hl=540d,444,0.6779279279279279,0.5956558726544666,0.2047629835282967,0.746967846967847,0.04770505839789977
hl=365d,444,0.6779279279279279,0.5996865579329784,0.20608984343976441,0.7447089947089947,0.045639813958532706
hl=180d,444,0.6621621621621622,0.6082158222858491,0.21010109419307962,0.7335978835978836,0.06029259667363598
