config,n,acc,logloss,brier,auc,ece,d_acc_pp,d_brier,d_ece_pp
control,1562,0.7541613316261203,0.5087461572786117,0.16818457121471347,0.8314520889355281,0.03059204466482429,0.0,0.0,0.0
with margin features,1562,0.7535211267605634,0.5108850871798296,0.1693108565510954,0.8289007673640716,0.026697643185579205,-0.0640204865556937,0.001126285336381927,-0.38944014792450865
