match_id,start_date,format,competition,tier,year,team_home,team_away,venue,winner,y_t1_wins,pred_p_t1,pred,correct,confidence,brier,elo_diff_pre,h2h_t1_winpct,h2h_n_prior
8517978105670484344,2023-10-24,ODI,ICC Cricket World Cup,tier1,2023,South Africa,Bangladesh,"Wankhede Stadium, Mumbai",South Africa,1,0.865887408880284,1,1,0.7317748177605681,0.017986187096844117,307.07336191797185,0.7857142857142857,28
709548625749505709,2023-10-25,ODI,ICC Cricket World Cup,tier1,2023,Australia,Netherlands,"Arun Jaitley Stadium, Delhi",Australia,1,0.8391255215023513,1,1,0.6782510430047026,0.02588059783189043,476.4565334957945,1.0,1
5876062151687222823,2023-10-26,ODI,ICC Cricket World Cup,tier1,2023,England,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",Sri Lanka,0,0.5763442566420729,1,0,0.1526885132841458,0.3321727021643036,188.6337060499725,0.5357142857142857,56
5815356809212421656,2023-10-27,ODI,ICC Cricket World Cup,tier1,2023,Pakistan,South Africa,"MA Chidambaram Stadium, Chepauk, Chennai",South Africa,0,0.518831985138146,1,0,0.03766397027629198,0.26918662880238936,-190.74115796794035,0.3559322033898305,59
1882887512883230765,2023-10-28,ODI,ICC Cricket World Cup,tier1,2023,Netherlands,Bangladesh,"Eden Gardens, Kolkata",Netherlands,1,0.4452233694415546,0,0,0.10955326111689079,0.3077771098137818,-188.38377144407673,0.0,1
7938396203063670184,2023-10-28,ODI,ICC Cricket World Cup,tier1,2023,Australia,New Zealand,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Australia,1,0.5803311207349691,1,1,0.16066224146993813,0.1761219682235671,120.92553908092827,0.7575757575757576,66
7429645438295133624,2023-10-29,ODI,ICC Cricket World Cup,tier1,2023,India,England,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,1,0.7335052937290115,1,1,0.46701058745802304,0.07101942847046043,111.43243376499686,0.5769230769230769,78
814128139826573413,2023-10-31,ODI,ICC Cricket World Cup,tier1,2023,Bangladesh,Pakistan,"Eden Gardens, Kolkata",Pakistan,0,0.21839629094266963,0,1,0.5632074181146607,0.0476969398975152,-158.14639803524233,0.21428571428571427,28
4235872149524324747,2023-11-01,ODI,ICC Cricket World Cup,tier1,2023,South Africa,New Zealand,"Maharashtra Cricket Association Stadium, Pune",South Africa,1,0.7574981820575394,1,1,0.5149963641150788,0.058807131705398315,159.8749615539325,0.5952380952380952,42
1629561873851263974,2023-11-02,ODI,ICC Cricket World Cup,tier1,2023,India,Sri Lanka,"Wankhede Stadium, Mumbai",India,1,0.8389980055775068,1,1,0.6779960111550136,0.02592164220802053,265.75961647380336,0.7282608695652174,92
4567847022187569779,2023-11-04,ODI,Pakistan Women tour of Bangladesh,tier2_assoc,2023,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",Pakistan,0,0.2490572992882812,0,1,0.5018854014234376,0.06202953832877247,-176.73916322667674,0.20689655172413793,29
1697514483330887468,2023-11-04,ODI,ICC Cricket World Cup,tier1,2023,Australia,England,"Narendra Modi Stadium, Ahmedabad",Australia,1,0.5041813137343671,1,1,0.008362627468734285,0.24583616965017807,69.67325645950223,0.6274509803921569,102
8660998810319448144,2023-11-04,ODI,ICC Cricket World Cup,tier1,2023,New Zealand,Pakistan,"M Chinnaswamy Stadium, Bengaluru",Pakistan,0,0.5845029902989781,1,0,0.16900598059795624,0.3416437456684473,11.233046086180366,0.66,50
140809912843217883,2023-11-05,ODI,ICC Cricket World Cup,tier1,2023,India,South Africa,"Eden Gardens, Kolkata",India,1,0.7098106582987783,1,1,0.41962131659755664,0.0842098540369884,41.810247573248034,0.5,58
8188332919520932327,2023-11-06,ODI,ICC Cricket World Cup,tier1,2023,Sri Lanka,Bangladesh,"Arun Jaitley Stadium, Delhi",Bangladesh,0,0.7246333505576253,1,0,0.4492667011152507,0.5250934927403703,149.42224151076402,0.775,40
1737799836306207217,2023-11-08,ODI,ICC Cricket World Cup,tier1,2023,England,Netherlands,"Maharashtra Cricket Association Stadium, Pune",England,1,0.8446116583137889,1,1,0.6892233166275779,0.024145536731990682,372.0517015944781,1.0,5
8221455665154672525,2023-11-09,ODI,ICC Cricket World Cup,tier1,2023,Sri Lanka,New Zealand,"M Chinnaswamy Stadium, Bengaluru",New Zealand,0,0.30633936632095893,0,1,0.38732126735808214,0.09384380735792666,-57.907638537267076,0.4222222222222222,45
4312528476125792199,2023-11-10,ODI,Pakistan Women tour of Bangladesh,tier2_assoc,2023,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,0,0.5738273081027725,1,0,0.147654616205545,0.3292777795244742,189.24576920224217,0.8,30
4419393041786882783,2023-11-11,ODI,ICC Cricket World Cup,tier1,2023,Bangladesh,Australia,"Maharashtra Cricket Association Stadium, Pune",Australia,0,0.1035157627164469,0,1,0.7929684745671062,0.010715513130767738,-322.25539497856994,0.05555555555555555,18
1956892558694867050,2023-11-11,ODI,ICC Cricket World Cup,tier1,2023,England,Pakistan,"Eden Gardens, Kolkata",England,1,0.40573542790509715,0,0,0.1885291441898057,0.3531503816471381,88.8596140069717,0.7872340425531915,47
1497435260192949770,2023-11-12,ODI,ICC Cricket World Cup,tier1,2023,India,Netherlands,"M Chinnaswamy Stadium, Bengaluru",India,1,0.877882799998892,1,1,0.7557655999977839,0.014912610536110621,569.2452553645876,1.0,2
6278339719382945541,2023-11-15,ODI,ICC Cricket World Cup,tier1,2023,India,New Zealand,"Wankhede Stadium, Mumbai",India,1,0.7384585229304076,1,1,0.4769170458608152,0.06840394422774414,261.1494619217344,0.5423728813559322,59
7176830049084490777,2023-11-16,ODI,ICC Cricket World Cup,tier1,2023,South Africa,Australia,"Eden Gardens, Kolkata",Australia,0,0.48210182962665327,0,1,0.03579634074669347,0.2324221741293666,-0.9218491416670531,0.543859649122807,57
8685863528658554757,2023-11-19,ODI,ICC Cricket World Cup,tier1,2023,India,Australia,"Narendra Modi Stadium, Ahmedabad",Australia,0,0.5710668404411429,1,0,0.14213368088228573,0.32611733625142975,85.16768237884571,0.42168674698795183,83
7420291060524377420,2023-12-03,ODI,England tour of West Indies,tier1,2023,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,0,0.7992985682358578,1,0,0.5985971364717155,0.6388782011838922,250.3074535259093,0.7209302325581395,43
3520053787532690486,2023-12-06,ODI,England tour of West Indies,tier1,2023,West Indies,England,"Sir Vivian Richards Stadium, North Sound, Antigua",England,0,0.2731309898452662,0,1,0.45373802030946764,0.07460053761385489,-203.73256912628767,0.29545454545454547,44
6216652712986213188,2023-12-09,ODI,England tour of West Indies,tier1,2023,England,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,0,0.8012416481137806,1,0,0.6024832962275612,0.6419881786720875,218.48099912774342,0.7111111111111111,45
8238026667163394685,2023-12-12,ODI,Pakistan Women tour of New Zealand,tier2_assoc,2023,New Zealand,Pakistan,"John Davies Oval, Queenstown",New Zealand,1,0.7533923186703829,1,1,0.5067846373407658,0.060815348490769965,25.34508984750437,0.6470588235294118,51
8541156670652518839,2023-12-15,ODI,Ireland tour of Zimbabwe,tier1,2023,Zimbabwe,Ireland,Harare Sports Club,Ireland,0,0.3741941962581388,0,1,0.25161160748372235,0.14002129651327452,-50.91654203748726,0.4117647058823529,17
7100005993100520015,2023-12-15,ODI,Pakistan Women tour of New Zealand,tier2_assoc,2023,Pakistan,New Zealand,"Hagley Oval, Christchurch",New Zealand,0,0.19592445975085676,0,1,0.6081510804982865,0.038386393928665094,-70.65719461944082,0.34615384615384615,52
636121034058718882,2023-12-16,ODI,Bangladesh Women tour of South Africa,tier2_assoc,2023,Bangladesh,South Africa,"Buffalo Park, East London",Bangladesh,1,0.28332356973532524,0,0,0.4333528605293495,0.5136251056969172,-316.66103916049065,0.20689655172413793,29
6903902203472819987,2023-12-17,ODI,Ireland tour of Zimbabwe,tier1,2023,Zimbabwe,Ireland,Harare Sports Club,Ireland,0,0.338537127841069,0,1,0.32292574431786203,0.11460738692688029,-75.5258717300178,0.3888888888888889,18
2542527053463783602,2023-12-17,ODI,Bangladesh tour of New Zealand,tier1,2023,New Zealand,Bangladesh,"University Oval, Dunedin",New Zealand,1,0.791608525245569,1,1,0.583217050491138,0.043427006750326645,145.08003187668646,0.7428571428571429,35
4658421604156139913,2023-12-17,ODI,India tour of South Africa,tier1,2023,South Africa,India,"The Wanderers Stadium, Johannesburg",India,0,0.1317883757585693,0,1,0.7364232484828614,0.017368175985081856,-135.51908529801813,0.4915254237288136,59
4464850546890834531,2023-12-19,ODI,India tour of South Africa,tier1,2023,India,South Africa,"St George's Park, Gqeberha",South Africa,0,0.6508703786014872,1,0,0.30174075720297444,0.4236322497408433,156.6397803596633,0.5166666666666667,60
4755261600521538174,2023-12-20,ODI,Bangladesh Women tour of South Africa,tier2_assoc,2023,Bangladesh,South Africa,"Senwes Park, Potchefstroom",South Africa,0,0.18856721254752631,0,1,0.6228655749049474,0.03555759364794397,-259.0236270030248,0.23333333333333334,30
7859012775326677593,2023-12-20,ODI,Bangladesh tour of New Zealand,tier1,2023,Bangladesh,New Zealand,"Saxton Oval, Nelson",New Zealand,0,0.37160796362466336,0,1,0.2567840727506733,0.13809247862926913,-174.30937786844493,0.25,36
5989174824755957853,2023-12-21,ODI,India tour of South Africa,tier1,2023,India,South Africa,"Boland Park, Paarl",India,1,0.7919802401751237,1,1,0.5839604803502474,0.043272220477599224,102.66620245309491,0.5081967213114754,61
