config,n,acc,logloss,brier,auc,ece,d_acc_pp,d_brier,d_ece_pp
control,1562,0.7554417413572343,0.5106029627808163,0.16904807262700727,0.8298337377844822,0.032895782253833564,0.0,0.0,0.0
control [weather-only subset],1445,0.7577854671280276,0.5051626712382921,0.16696171332930246,0.834191570881226,0.03145991346704276,0.23437257707933368,-0.002086359297704815,-0.1435868786790806
with weather features,1562,0.7580025608194623,0.5093495095317254,0.1684387252206189,0.830963468223257,0.03562913175666438,0.256081946222797,-0.0006093474063883775,0.27333495028308147
with weather features [weather-only subset],1445,0.7605536332179931,0.5038170411186071,0.16632617404452263,0.8353773946360155,0.032648054290345126,0.5111891860758777,-0.0027218985824846442,-0.0247727963488438
